raw_date,PET_WRPNTUS2_W,PET_WDGST1A1_W,PET_WDGST1B1_W,PET_WDGSTP11_W,PET_WDGSTP21_W,PET_WDGSTUS1_W,PET_WD1ST_R1Y_1_W,PET_WD1ST_R20_1_W,PET_WD1ST_R50_1_W,PET_WCREXUS2_W,PET_WG6TP_R20_2_W,PET_W_EPM0F_YPY_R10_MBBLD_W,PET_W_EPM0CAG55_YPT_R30_MBBLD_W,LVL,MYR,NZD,RON,SGD,THB,VLO
2010-08-29,715.0,10159.0,29642.0,41590.0,1720.0,52412.0,3218.0,1916.0,1238.0,32.0,11.0,230.0,0.0,0.5575399999999999,3.1461,1.4174,3.3379,1.3573,31.338,12.426952
2010-09-05,768.0,10331.0,29286.0,41595.0,1698.0,52585.0,3327.0,1843.0,1020.0,32.0,41.0,274.0,0.0,0.55205,3.1194,1.3947,3.3345,1.3458,31.184,12.568847
2010-09-12,85.0,10601.0,27457.0,40069.0,1604.0,50505.0,3433.0,1737.0,1156.0,33.0,-27.0,259.0,0.0,0.55701,3.1071,1.371,3.3587,1.3402,30.778,12.852634
2010-09-19,339.0,10537.0,28497.0,40858.0,1554.0,51180.0,3238.0,1693.0,1148.0,33.0,17.0,297.0,0.0,0.54265,3.102,1.3737,3.2603,1.3355,30.745,12.426952
2010-09-26,433.0,10739.0,29122.0,41834.0,1528.0,52365.0,3631.0,1382.0,968.0,33.0,-3.0,286.0,0.0,0.529,3.093,1.3683,3.1627,1.324,30.685,13.076677
2010-10-03,179.0,10815.0,29390.0,41937.0,1500.0,52168.0,3056.0,1341.0,985.0,33.0,20.0,234.0,0.0,0.51668,3.0855,1.3514,3.1076,1.3125,30.208,13.196171
2010-10-10,163.0,11074.0,30101.0,42995.0,1253.0,54239.0,3177.0,1302.0,1126.0,33.0,34.0,212.0,0.0,0.5111,3.1152,1.3405,3.0736,1.3117,30.063,13.562104000000001
2010-10-17,301.0,11351.0,30683.0,43926.0,1198.0,54305.0,2917.0,1268.0,1103.0,33.0,-28.0,198.0,0.0,0.50373,3.0835,1.3177,3.0353,1.2949,29.821,13.211104
2010-10-24,555.0,10835.0,30474.0,43336.0,1345.0,53388.0,2979.0,1244.0,1137.0,33.0,-3.0,206.0,0.0,0.5093300000000001,3.114,1.3374,3.0869,1.3016,29.943,13.606913
2010-10-31,211.0,11006.0,29970.0,43243.0,1328.0,53172.0,2810.0,1314.0,1035.0,33.0,-32.0,208.0,0.0,0.5121600000000001,3.1096,1.3192,3.0788,1.2967,29.955,14.137148000000002
2010-11-07,215.0,10352.0,29135.0,41544.0,1196.0,51181.0,2681.0,1496.0,1100.0,33.0,-18.0,170.0,0.0,0.5039100000000001,3.0831,1.2601,3.0467,1.2856,29.637,14.906365
2010-11-14,235.0,10317.0,29679.0,42061.0,1038.0,51780.0,2712.0,1422.0,1095.0,34.0,-4.0,160.0,0.0,0.51725,3.1108,1.2875,3.1325,1.2943,29.8,14.757001
2010-11-21,397.0,10290.0,29336.0,41935.0,1180.0,52280.0,2886.0,1432.0,1091.0,34.0,26.0,205.0,0.0,0.51872,3.1198,1.2886,3.1432,1.2976,29.94,14.857447
2010-11-28,54.0,10365.0,29215.0,41708.0,1157.0,51754.0,3086.0,1286.0,1185.0,34.0,99.0,190.0,0.0,0.53656,3.1629,1.3348,3.2609,1.3198,30.295,15.523935999999999
2010-12-05,550.0,10110.0,29212.0,41815.0,964.0,52073.0,3157.0,1574.0,1236.0,34.0,67.0,212.0,0.0,0.53578,3.148,1.3226,3.2518,1.3072,30.055,15.718639000000001
2010-12-12,136.0,8590.0,28394.0,39800.0,919.0,49790.0,3115.0,1550.0,1267.0,33.0,66.0,207.0,0.0,0.53587,3.1349,1.331,3.2430000000000003,1.3077,30.065,15.958274
2010-12-19,735.0,8824.0,27527.0,38718.0,824.0,49345.0,3134.0,1624.0,1295.0,33.0,32.0,169.0,0.0,0.5352899999999999,3.1315,1.3557,3.2379,1.3143,30.152,17.238834
2010-12-26,446.0,8683.0,25702.0,36485.0,954.0,47350.0,3288.0,1695.0,1286.0,33.0,70.0,178.0,0.0,0.54157,3.0955,1.3366,3.2734,1.2997,30.208,17.328692999999998
